Policy,Eligibility
"[[0], [0, 0], [1, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 1], [1, 1, 0, 0, 1, 1], [0, 0, 1, 1, 1], [1, 1, 0, 1], [1, 0, 0], [0, 0], [1]]5,0,5,2",-10.251157704377086
"[[0], [0, 0], [1, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 1], [0, 0, 1, 0, 1, 1], [0, 0, 1, 1, 1], [1, 1, 0, 1], [1, 0, 0], [0, 0], [1]]8,0,6,0",-10.08413241769284
"[[0], [0, 0], [1, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 1], [0, 0, 1, 0, 1, 1], [1, 0, 1, 1, 1], [0, 1, 0, 1], [0, 0, 0], [0, 0], [1]]6,4,8,2",-10.09451484590064
"[[0], [0, 0], [1, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 1], [0, 0, 1, 0, 1, 1], [1, 0, 1, 1, 0], [0, 1, 0, 0], [0, 0, 1], [0, 0], [1]]5,2,7,2",-9.937363610270976
"[[0], [0, 0], [1, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 1], [1, 0, 0, 1, 0], [0, 1, 1, 0], [0, 0, 1], [0, 0], [1]]7,1,7,3",-9.97771368074081
"[[0], [0, 0], [1, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 1], [1, 0, 0, 1, 0], [0, 0, 0, 1], [0, 0, 1], [0, 0], [1]]5,4,7,2",-9.973099212072887
"[[0], [0, 0], [1, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0], [0, 0, 1, 1], [0, 0, 1], [0, 0], [1]]8,2,6,4",-9.955484842056512
"[[0], [0, 0], [1, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 1], [0, 0, 1, 0], [0, 0, 0], [0, 0], [1]]5,5,3,3",-10.00872539431098
"[[0], [0, 0], [1, 0, 0], [0, 0, 0, 1], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 1], [0, 0, 1, 0], [0, 0, 0], [0, 0], [1]]None",-9.990145276485398
"[[1], [1, 1], [1, 1, 1], [1, 0, 0, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]5,2,3,2",-178.37404763331688
"[[1], [1, 1], [1, 1, 1], [1, 0, 1, 1], [1, 1, 0, 1, 1], [1, 1, 0, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]1,1,3,1",-20.992761508931594
"[[1], [1, 0], [1, 0, 1], [1, 1, 1, 1], [1, 1, 0, 1, 1], [1, 1, 0, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]2,0,4,2",-10.53865775178221
"[[1], [1, 0], [0, 0, 1], [1, 0, 1, 1], [1, 1, 1, 1, 1], [1, 1, 0, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]5,3,3,1",-10.538550698731811
"[[1], [1, 0], [0, 0, 1], [1, 1, 1, 1], [1, 1, 0, 1, 1], [1, 1, 0, 0, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]0,0,2,0",-10.4903726882675
"[[0], [0, 0], [1, 0, 1], [1, 1, 1, 1], [1, 1, 0, 1, 1], [1, 1, 0, 0, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]2,0,4,2",-10.51388032052833
"[[0], [0, 0], [0, 0, 1], [1, 0, 1, 1], [1, 1, 1, 1, 1], [1, 1, 0, 0, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]3,0,5,2",-10.48941357507831
"[[0], [0, 0], [0, 0, 1], [0, 0, 1, 1], [1, 0, 1, 1, 1], [1, 1, 1, 0, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]3,3,3,1",-10.478779828022452
"[[0], [0, 0], [0, 0, 1], [0, 1, 0, 0], [1, 0, 1, 1, 1], [1, 1, 1, 0, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]3,1,5,3",-10.41911626319173
"[[0], [0, 0], [0, 0, 1], [0, 0, 0, 0], [1, 0, 0, 1, 1], [1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]5,3,3,3",-10.438628967769416
"[[0], [0, 0], [0, 0, 1], [0, 0, 0, 1], [1, 0, 0, 0, 1], [1, 1, 1, 0, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]3,3,1,1",-10.432516068143965
"[[0], [0, 1], [0, 0, 0], [0, 0, 0, 0], [1, 0, 0, 0, 1], [1, 1, 1, 0, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]7,3,5,3",-10.33373674012694
